Do you own a wireless speaker?,How often do you use your wireless speaker?,How would you rate the sound quality of your wireless speaker?,Please tell us a bit more about your rating of the sound quality of your wireless speaker. ,What's most important to you in a wireless speaker? [Sound quality],What's most important to you in a wireless speaker? [Battery life],What's most important to you in a wireless speaker? [Design/Looks],"What's most important to you in a wireless speaker? [Connectivity options (e.g., Bluetooth, Wi-Fi)]",What's most important to you in a wireless speaker? [Durability],What's most important to you in a wireless speaker? [Price],Which brands of wireless speakers do you own or have used before? (Select all that apply) ,"What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Recommendation from friends/family]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Online reviews from other customers]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Expert reviews]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Brand reputation]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Price]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Specific features]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Advertising]",How happy are you with your wireless speaker?,What would make your wireless speaker better?,What do you mostly use your wireless speaker for? (Select all that apply),Have any other lifestyle changes in the past year changed how you use wireless speakers? (Select all that apply),How much did you spend on your wireless speaker? (US dollars),How likely are you to buy a new wireless speaker in the next 12 months?,Where do you like to buy wireless speakers?,How do you think about and evaluate the price when buying a wireless speaker? ,How old are you?,What is your gender?,What's your annual household income?,"Thanks a bunch for completing our survey! Your feedback is super valuable and will help us understand what consumers want. 
If you have any extra comments or feedback, please share them below.","Thanks a bunch for completing our survey! Your feedback is super valuable and will help us understand what consumers want. 
If you have any extra comments or feedback, please share them below."
YES,DAILY,EXCELLENT,I THINK IT IS EXCELLENT BECAUSE I HAVE NOTHING ELSE TO COMPARE IT TO.,1,3,4,5,2,6,BOSE,5,1,1,4,5,2,1,5,IF THE BATTERY LASTED LONGER,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, PODCASTS/AUDIOBOOKS","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I COMPARE IT TO WEATHER IT IS A BETTER OPTION THAN MY COMPUTER SOUND BY ITSELF,18-24,FEMALE,"MORE THAN $100,000",-,-
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,ONCE A WEEK,GOOD,"IT’S KINDA STATICKY, BUT IT GETS THE JOB DONE (:",4,1,3,5,2,6,JBL,5,2,5,3,5,3,3,3,BETTER SOUND QUALITY ,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS","SPENDING MORE TIME AT HOME, HOME WORKOUTS",$50 TO $100,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I TEND TO GO CHEAPER ,18-24,FEMALE,"$25,000-$50,000",N/A,N/A
YES,DAILY,EXCELLENT,IT’S A BOSE AND IT’S THE BEST,6,4,2,5,3,1,"BOSE, SAMSUNG, SONY",2,3,2,2,3,5,2,5,BIGGER,"LISTENING TO MUSIC, VIDEO/AUDIO CALLS (WORK/PERSONAL)","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$100 TO $200,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",USAGE ,18-24,FEMALE,"$50,000-$75,000",NA,Na
YES,1-3 TIMES A MONTH,EXCELLENT,IT SOUNDS GOOD. GOOD BASE. NOT EXCELLENT BUT DECENT.,6,5,1,4,3,2,"BOSE, JBL, SONY, AMAZON ECHO",3,4,4,5,4,4,1,5,TO BE EVEN LOUDER,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)","PRICE COMPARED TO FEATURES, SOUND QUALITY, AND SPEAKER SIZE.",18-24,FEMALE,"MORE THAN $100,000",N/A,N/A
YES,SEVERAL TIMES A WEEK,GOOD,THE SPEAKER IS GOOD QUALITY AND IS PRETTY DURABLE.,1,3,5,4,6,2,INFINITIVE SOUND PRO,5,5,3,4,5,3,3,5,THE BATTERY LIFE COULD MAKE IT BETTER.,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, PODCASTS/AUDIOBOOKS","SPENDING MORE TIME AT HOME, MORE ONLINE SOCIAL INTERACTIONS",$50 TO $100,4,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",THE PRICE SHOULD BE DETERMINED BY THE SIZE BUT MOST IMPORTANTLY THE QUALITY OF THE SOUND THAT THE SPEAKER CAN GIVE.,18-24,FEMALE,"$75,000-$100,000",N/A,N/A
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,EXCELLENT,GOOD,6,5,1,2,4,3,"BOSE, JBL",5,5,1,5,5,3,3,1,LOUDER,LISTENING TO MUSIC,HOME WORKOUTS,$100 TO $200,3,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),A LOT,18-24,FEMALE,PREFER NOT TO SAY,N/A,N/A
YES,RARELY (FEWER THAN ONCE A MONTH),GOOD,IT MAKES THE MUSIC LOUD BUT DOESN’T ENHANCE THE SONG OR ANYTHING. JUST SOUNDS LIKE A LOUD RECORDING,5,4,1,2,3,6,"BOSE, JBL",3,4,3,4,5,3,1,4,BATTERY LIFE,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE",LESS THAN $50,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",IF IT’S OVER $100 IT NEEDS TO LAST ME A DECADE,18-24,FEMALE,PREFER NOT TO SAY,N/A,N/A
YES,1-3 TIMES A MONTH,GOOD,"IT’S SMALL BUT VERY GREAT SOUND, BATTERY RUNS QUICKLY",6,5,1,3,2,4,JBL,3,4,4,5,5,2,1,4,BETTER BATTERY LIFE,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,$50 TO $100,2,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),HOW QUALITY THE PRODUCT IS ,18-24,FEMALE,"MORE THAN $100,000",NO COMMENTS!,No comments!
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
